collection_no,class_name,occurrence.genus_name,abund_value,abund_unit,collection.reference_no,epoch,stage,10_my_bin
10399,Bivalvia,Nuculavus,1,individuals,3837,Cisuralian,Kungurian,Permian 2
10399,Bivalvia,Schizodus,3,individuals,3837,Cisuralian,Kungurian,Permian 2
10399,Bivalvia,Bakevellia,30,individuals,3837,Cisuralian,Kungurian,Permian 2
10399,Gastropoda,Platyworthenia,24,individuals,3837,Cisuralian,Kungurian,Permian 2
10399,Gastropoda,Meekospira,10,individuals,3837,Cisuralian,Kungurian,Permian 2
10421,Bivalvia,Schizodus,2,individuals,3837,Cisuralian,Kungurian,Permian 2
10421,Bivalvia,Bakevellia,20,individuals,3837,Cisuralian,Kungurian,Permian 2
10421,Gastropoda,Yunnania,22,individuals,3837,Cisuralian,Kungurian,Permian 2
10421,Gastropoda,Goniasma,2,individuals,3837,Cisuralian,Kungurian,Permian 2
10421,Gastropoda,Meekospira,10,individuals,3837,Cisuralian,Kungurian,Permian 2
10423,Bivalvia,Schizodus,5,individuals,3837,Cisuralian,Kungurian,Permian 2
10423,Bivalvia,Bakevellia,160,individuals,3837,Cisuralian,Kungurian,Permian 2
10423,Gastropoda,Platyworthenia,5,individuals,3837,Cisuralian,Kungurian,Permian 2
10423,Gastropoda,Naticopsis,4,individuals,3837,Cisuralian,Kungurian,Permian 2
10423,Gastropoda,Meekospira,25,individuals,3837,Cisuralian,Kungurian,Permian 2
10425,Bivalvia,Schizodus,40,individuals,3837,Cisuralian,Kungurian,Permian 2
10425,Bivalvia,Bakevellia,40,individuals,3837,Cisuralian,Kungurian,Permian 2
10425,Gastropoda,Leptomphalus,15,individuals,3837,Cisuralian,Kungurian,Permian 2
10425,Gastropoda,Platyworthenia,70,individuals,3837,Cisuralian,Kungurian,Permian 2
10425,Gastropoda,Goniasma,1,individuals,3837,Cisuralian,Kungurian,Permian 2
10425,Gastropoda,Meekospira,20,individuals,3837,Cisuralian,Kungurian,Permian 2
10428,Bivalvia,Schizodus,20,individuals,3837,Cisuralian,Kungurian,Permian 2
10428,Bivalvia,Permophorus,5,individuals,3837,Cisuralian,Kungurian,Permian 2
10428,Gastropoda,Goniasma,50,individuals,3837,Cisuralian,Kungurian,Permian 2
10428,Gastropoda,Meekospira,15,individuals,3837,Cisuralian,Kungurian,Permian 2
10429,Bivalvia,Schizodus,10,individuals,3837,Cisuralian,Kungurian,Permian 2
10429,Bivalvia,Bakevellia,1,individuals,3837,Cisuralian,Kungurian,Permian 2
10429,Bivalvia,Permophorus,1,individuals,3837,Cisuralian,Kungurian,Permian 2
10429,Gastropoda,Yunnania,200,individuals,3837,Cisuralian,Kungurian,Permian 2
10429,Gastropoda,Goniasma,400,individuals,3837,Cisuralian,Kungurian,Permian 2
10429,Gastropoda,Naticopsis,10,individuals,3837,Cisuralian,Kungurian,Permian 2
10429,Gastropoda,Meekospira,75,individuals,3837,Cisuralian,Kungurian,Permian 2
10430,Bivalvia,Nuculavus,1,individuals,3837,Cisuralian,Kungurian,Permian 2
10430,Bivalvia,Bakevellia,2,individuals,3837,Cisuralian,Kungurian,Permian 2
10430,Bivalvia,Permophorus,10,individuals,3837,Cisuralian,Kungurian,Permian 2
10430,Gastropoda,Leptomphalus,5,individuals,3837,Cisuralian,Kungurian,Permian 2
10430,Gastropoda,Yunnania,200,individuals,3837,Cisuralian,Kungurian,Permian 2
10430,Gastropoda,Goniasma,50,individuals,3837,Cisuralian,Kungurian,Permian 2
10430,Gastropoda,Naticopsis,5,individuals,3837,Cisuralian,Kungurian,Permian 2
10430,Gastropoda,Meekospira,50,individuals,3837,Cisuralian,Kungurian,Permian 2
10431,Bivalvia,Nuculavus,2,individuals,3837,Cisuralian,Kungurian,Permian 2
10431,Bivalvia,Schizodus,50,individuals,3837,Cisuralian,Kungurian,Permian 2
10431,Bivalvia,Bakevellia,50,individuals,3837,Cisuralian,Kungurian,Permian 2
10431,Gastropoda,Leptomphalus,6,individuals,3837,Cisuralian,Kungurian,Permian 2
10431,Gastropoda,Goniasma,400,individuals,3837,Cisuralian,Kungurian,Permian 2
10431,Gastropoda,Naticopsis,2,individuals,3837,Cisuralian,Kungurian,Permian 2
10431,Gastropoda,Meekospira,200,individuals,3837,Cisuralian,Kungurian,Permian 2
10431,Gastropoda,Bellerophontoidea,1,individuals,3837,Cisuralian,Kungurian,Permian 2
10443,Strophomenata,Costellarina,10,individuals,3837,Cisuralian,Kungurian,Permian 2
10443,Bivalvia,Polidevcia,300,individuals,3837,Cisuralian,Kungurian,Permian 2
10443,Bivalvia,Nuculavus,70,individuals,3837,Cisuralian,Kungurian,Permian 2
10443,Bivalvia,Pseudomonotis,1,individuals,3837,Cisuralian,Kungurian,Permian 2
10443,Bivalvia,Schizodus,100,individuals,3837,Cisuralian,Kungurian,Permian 2
10443,Bivalvia,Bakevellia,7,individuals,3837,Cisuralian,Kungurian,Permian 2
10443,Gastropoda,Euphemitopsis,150,individuals,3837,Cisuralian,Kungurian,Permian 2
10443,Gastropoda,Leptomphalus,70,individuals,3837,Cisuralian,Kungurian,Permian 2
10443,Gastropoda,Naticopsis,4,individuals,3837,Cisuralian,Kungurian,Permian 2
10443,Gastropoda,Meekospira,65,individuals,3837,Cisuralian,Kungurian,Permian 2
10443,Gastropoda,Bellerophontoidea,9,individuals,3837,Cisuralian,Kungurian,Permian 2
10444,Bivalvia,Polidevcia,170,individuals,3837,Cisuralian,Kungurian,Permian 2
10444,Bivalvia,Nuculavus,23,individuals,3837,Cisuralian,Kungurian,Permian 2
10444,Bivalvia,Permophorus,1,individuals,3837,Cisuralian,Kungurian,Permian 2
10444,Bivalvia,Schizodus,70,individuals,3837,Cisuralian,Kungurian,Permian 2
10444,Bivalvia,Bakevellia,3,individuals,3837,Cisuralian,Kungurian,Permian 2
10444,Gastropoda,Euphemitopsis,65,individuals,3837,Cisuralian,Kungurian,Permian 2
10444,Gastropoda,Leptomphalus,10,individuals,3837,Cisuralian,Kungurian,Permian 2
10444,Gastropoda,Naticopsis,2,individuals,3837,Cisuralian,Kungurian,Permian 2
10444,Gastropoda,Meekospira,40,individuals,3837,Cisuralian,Kungurian,Permian 2
10444,Gastropoda,Goniasma,5,individuals,3837,Cisuralian,Kungurian,Permian 2
10444,Gastropoda,Bellerophontoidea,2,individuals,3837,Cisuralian,Kungurian,Permian 2
10445,Bivalvia,Polidevcia,1,individuals,3837,Cisuralian,Kungurian,Permian 2
10445,Bivalvia,Nuculavus,8,individuals,3837,Cisuralian,Kungurian,Permian 2
10445,Bivalvia,Schizodus,2,individuals,3837,Cisuralian,Kungurian,Permian 2
10445,Bivalvia,Bakevellia,4,individuals,3837,Cisuralian,Kungurian,Permian 2
10445,Bivalvia,Permophorus,1,individuals,3837,Cisuralian,Kungurian,Permian 2
10445,Gastropoda,Euphemitopsis,20,individuals,3837,Cisuralian,Kungurian,Permian 2
10445,Gastropoda,Leptomphalus,2,individuals,3837,Cisuralian,Kungurian,Permian 2
10445,Gastropoda,Goniasma,3,individuals,3837,Cisuralian,Kungurian,Permian 2
10445,Gastropoda,Naticopsis,1,individuals,3837,Cisuralian,Kungurian,Permian 2
10447,Bivalvia,Polidevcia,40,individuals,16473,Cisuralian,Kungurian,Permian 2
10447,Bivalvia,Nuculavus,2000,individuals,16473,Cisuralian,Kungurian,Permian 2
10447,Bivalvia,Myalina,1,individuals,16473,Cisuralian,Kungurian,Permian 2
10447,Bivalvia,Pseudomonotis,45,individuals,16473,Cisuralian,Kungurian,Permian 2
10447,Bivalvia,Schizodus,70,individuals,16473,Cisuralian,Kungurian,Permian 2
10447,Bivalvia,Permophorus,100,individuals,16473,Cisuralian,Kungurian,Permian 2
10447,Gastropoda,Euphemites,2,individuals,16473,Cisuralian,Kungurian,Permian 2
10447,Gastropoda,Euphemitopsis,1500,individuals,16473,Cisuralian,Kungurian,Permian 2
10447,Gastropoda,Leptomphalus,1000,individuals,16473,Cisuralian,Kungurian,Permian 2
10447,Gastropoda,Ananias,12,individuals,16473,Cisuralian,Kungurian,Permian 2
10447,Gastropoda,Goniasma,350,individuals,16473,Cisuralian,Kungurian,Permian 2
